trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-117.71769745208734,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-74.67144366850725,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,6,-134.05676884415732,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,2,-95.26148602797933,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-99.98150773465176,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-124.2880401554145,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-248.1431678794558,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,-57.11535106452756,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,13,-51.86587709855394,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-24.438297678641415,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-137.2439440843239,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,4,-156.49762797877182,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 4}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-64.02476145546525,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,16,10.104819254825179,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,23.7699287697116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-75.9227271910873,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-47.47662248528569,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,-29.36684224068255,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,2,37.71264077926181,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,26.5591445311715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,10,7.039205677174295,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,9.318213240259276,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,8.384467850056769,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,8.075565918318784,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,-21.114249210037986,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,16,24.212241410217498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-25.722544881346955,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,14,11.60346539084325,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,2,-76.2616341431087,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,13,12.848493339170577,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
