trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-154.4252457616472,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9999995000000417}",25,0,-131.7332247037791,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.9999980000006666}",20,0,-24.295380650755256,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.999995500003375}",20,0,-115.48889068741721,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9999920000106667}",25,0,-223.8779694636521,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.1, 'e': 0.9999875000260416}",20,0,-26.138443936726546,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.999982000054}",20,1,-104.39144208916093,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 1}",1
8,False,"{'a': 0.1, 'e': 0.9999755001000415}",25,0,-117.87293360258857,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.9999680001706663}",25,0,-121.67372852748413,"{0: 17, 1: 4, 2: 0, 3: 2, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.9999595002733742}",30,0,-75.10881777327648,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9999500004166653}",25,0,-125.50357670675832,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.9999395006100392}",25,0,-102.76113068398193,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9999280008639958}",25,0,-102.55180566824859,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9999155011900349}",30,0,-133.1008236714912,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.9999020016006562}",25,0,-36.26973278255579,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.9998875021093592}",25,10,-99.19868289785602,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.1, 'e': 0.9998720027306434}",25,0,-107.8252732888702,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.9998555034800082}",25,9,-80.50706820065155,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 1}",1
19,False,"{'a': 0.1, 'e': 0.9998380043739528}",20,0,-76.24657603542384,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.9998195054299763}",25,0,-200.16386188917676,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
21,False,"{'a': 0.1, 'e': 0.9998000066665778}",30,0,-59.44080469486976,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.9997795081032559}",25,0,-223.7665615112464,"{0: 13, 1: 1, 2: 3, 3: 6, 4: 2}",0
23,False,"{'a': 0.1, 'e': 0.9997580097605092}",20,0,-53.57795370699938,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.1, 'e': 0.9997355116598361}",20,0,-173.93641753431655,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
25,False,"{'a': 0.1, 'e': 0.9997120138237345}",20,0,-178.11562042221374,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 0.1, 'e': 0.9996875162757026}",20,0,-127.31099598731267,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.9996620190402377}",25,0,-34.213478628241305,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.1, 'e': 0.9996355221428369}",25,13,-51.667903313744326,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.1, 'e': 0.9996080256099974}",25,0,-127.13191086768154,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.9995795294692156}",20,0,-14.063413483816866,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.9995500337489875}",20,0,-42.27140559463817,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.999519538478809}",20,0,-101.56634955788454,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.9994880436891754}",30,0,-72.76289739159292,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.9994555494115813}",20,0,-109.90193419578353,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.9994220556785212}",25,0,-47.87268561147523,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.1, 'e': 0.9993875625234886}",20,0,-65.30709282077862,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.1, 'e': 0.9993520699809768}",25,0,-188.0953551307956,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
38,False,"{'a': 0.1, 'e': 0.9993155780864782}",20,0,-133.4520309171383,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.9992780868764849}",20,0,-77.35172900737517,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
40,False,"{'a': 0.1, 'e': 0.999239596388488}",25,0,-183.05581792650005,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
41,False,"{'a': 0.1, 'e': 0.9992001066609779}",30,0,-98.64680108169394,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.1, 'e': 0.9991596177334445}",20,11,-19.419545675247942,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.9991181296463766}",20,0,-92.08012012791683,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.1, 'e': 0.9990756424412622}",25,0,-172.38391321990412,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
45,False,"{'a': 0.1, 'e': 0.9990321561605888}",20,0,-96.65395109510946,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.9989876708478425}",20,0,-111.60253976792167,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.9989421865475084}",20,0,-74.77103159501125,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
