trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,11,-51.457592420659935,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-227.53124090817295,"{0: 8, 1: 2, 2: 3, 3: 4, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.81979150661311,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.20435030469174,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.96108405674207,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.3292950294846,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-194.32614184610358,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.00824308808546,"{0: 7, 1: 3, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.16216450661327,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.83823485651915,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.76333479470614,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.93539838260074,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,11,-50.98612184928485,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.10015958851756,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-250.8720573474853,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.291225340765926,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.1051004759359,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.142289066540718,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.52850932384035,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.97619370562385,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-101.36870047690401,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-155.67798229635451,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-109.71452173977454,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-190.7286996694178,"{0: 6, 1: 4, 2: 6, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-164.49946362634984,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,13,-11.532270391009265,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-93.75740726741428,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-90.00825276071828,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-123.41700361524154,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-102.94872286175314,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
